trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.9698942836196508}",20,0,-11.185150400354345,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9694052914750845}",25,0,-64.81212029393755,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9689124217106447}",30,0,-150.87809735530604,"{0: 13, 1: 8, 2: 7, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.9684156762978101}",20,2,-82.08635086315054,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.9679150572235615}",20,0,-102.56378920765616,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9674105664903746}",20,0,-38.74579532477929,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.9669022061162116}",20,0,-186.0484114717809,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
130,False,"{'a': 0.5, 'e': 0.9663899781345132}",30,0,-144.10506777795052,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.9658738845941909}",20,0,-141.38952261771988,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.965353927559618}",20,0,-222.92295128186726,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 4}",0
133,False,"{'a': 0.5, 'e': 0.9648301091106221}",20,0,-32.60841550316724,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9643024313424761}",20,0,-92.94506856782482,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-79.37673475847275,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.9632355063070045}",20,0,-39.25431850953966,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9626962633073776}",20,0,-87.24584024778318,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9621531695239809}",25,0,-159.5052960400484,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9616062271291891}",20,0,-88.695891033194,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9610554383107709}",35,9,-162.52250997367707,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 2}",1
141,False,"{'a': 0.5, 'e': 0.9605008052718809}",35,0,-134.9485766946647,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.9599423302310505}",25,0,-191.56646236514493,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
143,False,"{'a': 0.5, 'e': 0.959380015422179}",20,9,-55.45837156318965,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.9588138630945251}",20,0,-87.75596766116952,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
